 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  33   1    -0.01   0.02   0.00     0.03   0.12   0.08    -0.01   0.05  -0.01
  34   1     0.07   0.02  -0.02    -0.05  -0.04   0.10     0.03   0.03  -0.02
  35   1     0.04  -0.01  -0.05    -0.01   0.02   0.15     0.01   0.05  -0.03
  36   1    -0.02   0.00  -0.03    -0.03   0.08   0.02     0.04   0.06  -0.04
  37   1    -0.03   0.03  -0.03    -0.03   0.01  -0.00    -0.01   0.05  -0.07
  38   1    -0.01  -0.03  -0.03    -0.02  -0.07   0.00    -0.04   0.03  -0.01
  39   1    -0.00  -0.07  -0.04    -0.03  -0.01   0.02     0.01  -0.03   0.00
  40   1    -0.10  -0.02  -0.02    -0.05  -0.02  -0.10    -0.11   0.03   0.03
  41   1    -0.09  -0.08  -0.03    -0.05  -0.04  -0.10    -0.10  -0.03   0.04
  42   1    -0.09  -0.06  -0.03    -0.05   0.04  -0.09    -0.07  -0.03   0.03
                      7                      8                      9
                        a                      a                      a 
 Frequencies --   100.5322               105.5929               111.9912
 Red. masses --     9.1052                 5.4743                 8.7485
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     5.0925                 0.3079                 8.1221
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7    -0.25   0.03  -0.01    -0.03   0.01  -0.05     0.39  -0.03   0.08
   2   6    -0.09   0.03  -0.07    -0.02   0.01  -0.03    -0.03  -0.05  -0.05
   3   6     0.00  -0.05   0.09    -0.00   0.01   0.02    -0.20   0.25  -0.15
   4   6     0.04   0.12   0.05     0.01   0.06   0.01    -0.05   0.09  -0.06
   5   6     0.04   0.19   0.13     0.04   0.05   0.06     0.02  -0.01   0.05
   6   6     0.09  -0.10  -0.15     0.04  -0.14  -0.08    -0.05  -0.19   0.04
   7   6     0.06   0.13   0.02     0.02   0.04   0.09    -0.04  -0.05   0.24
   8   6     0.11  -0.17  -0.27     0.05  -0.12  -0.08    -0.00  -0.11   0.12
   9   6     0.09   0.11   0.03     0.01   0.06   0.05    -0.07  -0.01   0.05
  10   6     0.05   0.05   0.05     0.04   0.07   0.01     0.04   0.03  -0.11
  11   6     0.15   0.11  -0.16    -0.16  -0.01   0.25     0.17   0.08  -0.29
  12   6    -0.07  -0.04   0.13     0.21   0.11  -0.33     0.01   0.03  -0.05
  13   6    -0.08  -0.02   0.01    -0.17  -0.04   0.09    -0.13  -0.04   0.20
  14  17    -0.07  -0.26   0.11    -0.01  -0.08  -0.01    -0.07   0.00  -0.07
  15   1    -0.10   0.03  -0.08    -0.02   0.00  -0.03     0.17  -0.05   0.14
  16   1    -0.13   0.00   0.06    -0.02   0.00   0.00     0.21   0.06  -0.06
  17   1     0.00  -0.01   0.03     0.01   0.00  -0.01     0.02  -0.02   0.00
  18   1    -0.05   0.02  -0.04    -0.01   0.00  -0.01    -0.03  -0.01  -0.02
  19   1     0.01   0.02  -0.05     0.00   0.01  -0.01    -0.04  -0.09  -0.01
  20   1    -0.02  -0.06   0.02    -0.00  -0.00   0.00    -0.04   0.18  -0.02
  21   1     0.03  -0.02   0.07     0.00   0.00   0.02    -0.14   0.07  -0.10
  22   1     0.01   0.06   0.02     0.01   0.03   0.00     0.01   0.01  -0.05
  23   1     0.01   0.04  -0.02    -0.00   0.02  -0.01    -0.02   0.02   0.02
  24   1     0.03   0.05   0.13     0.03   0.01   0.07     0.04  -0.00   0.04
  25   1    -0.02   0.15   0.02    -0.00   0.06   0.01     0.02   0.02   0.01
  26   1     0.03  -0.02  -0.17     0.02  -0.03  -0.11    -0.01  -0.05  -0.05
